Nama Pencari,Provinsi Gunung,Nama Gunung,Tinggi (mdpl),Deskripsi,Foto (url)
Raydzan,Jawa Timur,Semeru,3676,"Stratovolkano aktif dengan kawah Jonggring Saloka dan lanskap savana–danau (Ranu Kumbolo). Jalur populer via Ranu Pani, 2–3 hari, tanjakan pasir menuju puncak Mahameru cukup berat dan berangin; butuh fisik prima dan pantau status aktivitas.",https://images.unsplash.com/photo-1605860632725-fa88d0ce7a07?fm=jpg&q=60&w=3000&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8OHx8c2VtZXJ1fGVufDB8fDB8fHww
,Jawa Timur,Raung,3344,"Punya kaldera kering raksasa dan punggungan sempit yang dramatis. Trek terkenal teknis–terjal, banyak tebing dan batuan tajam; cocok pendaki berpengalaman dengan perlengkapan lengkap. Pemandangan kawah 360° sangat ikonik.",https://asset.kompas.com/crops/jtAjMVjuL444PWjQh8fx6l1LJL4=/0x0:1000x667/750x500/data/photo/2022/07/28/62e249a822a68.jpg
,Jawa Timur,Arjuno,3339,Gunung hutan pegunungan yang berdampingan dengan Welirang. Jalur Tretes/ Lawang/Batu cenderung panjang tapi tidak terlalu teknis; 2–3 hari dengan kemah di pos tinggi. Puncak Ogal-Agil menyajikan panorama pegunungan Jawa Timur.,https://backend.adventuraja.com/gallery/623966ae317f5926664e6c92/Gunung%20Welirang%208.jpg
,Jawa Timur,Welirang,3156,"Volkano aktif dengan solfatara dan tambang belerang tradisional. Rute via Tretes melewati hutan dan jalan makadam; medan panjang berbatu, gas belerang jadi tantangan. Sering digabung “double summit” Arjuno-Welirang.",Arjuno dan welirang hampir sama beda tinggi aja
,Jawa Timur,Argopuro,3088,"Trek lintas gunung terpanjang di Jawa: hutan–savana Cikasur–Danau Taman Hidup. Elevasi ramah, tetapi jarak dan ketersediaan air menuntut logistik matang (4–5 hari). Puncaknya bersejarah dengan situs Rengganis.",https://picture.triptrus.com/image/2014/06/gunung-argopuro.jpeg 
,Jawa Timur,Ijen,2769,"Terkenal danau kawah toska dan fenomena api biru. Pendakian dari Paltuding ±3 km menanjak relatif singkat, cocok pemula, tetapi wajib masker karena gas belerang. Sunrise dari bibir kawah spektakuler.",https://i.pinimg.com/736x/cf/ab/36/cfab36cd6e902090b32d4b67081ba85e.jpg
,Jawa Timur,Kawi-Butak,2651,"Kompleks pegunungan tua; hutan lebat dan padang rumput puncak yang luas. Jalur Paderman/Sirah Kencong medannya menengah: panjang, banyak percabangan, navigasi perlu cermat. View Arjuno-Welirang dan Malang dari puncak.",https://datagunung.com/images/mobile-Kawi-Butak.webp
,Jawa Timur,Ranti,2601,"Satu punggungan di kompleks Ijen sering disebut “negeri di atas awan”. Start dekat Paltuding; jalur lebih curam dan berpasir daripada Ijen, 3–5 jam ke puncak. Bonus panorama Kawah Ijen dan Raung.",https://datagunung.com/images/mobile-Ranti.webp
,Jawa Timur,Wilis,2563,"Gunung berapi tua (Puncak Liman) yang sepi pendaki. Banyak opsi jalur (Kediri, Madiun, Nganjuk) dengan trek hutan panjang dan minim penunjuk; 2–3 hari. Pemandangan terbuka terbatas namun alamnya masih perawan.",https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/webp/photo/2020/12/12/1549717195.jpg
,Sulawesi Selatan,Latimojong,3478,"Tertinggi di Sulawesi; bukan vulkanik. Trek hutan montana via Karangan 7 pos, licin saat hujan, butuh 3H2M. Puncak memberi horizon pegunungan Sulawesi yang luas.",https://media.zcreators.id/crop/0x0:0x0/x/photo/p2/44/2023/08/21/FotoJet-2023-08-21T132547008-295947498.jpg
,Sulawesi Selatan,Lompobattang,2874,"Kerabat Bawakaraeng, jalur via Lembanna panjang dan curam dengan sektor berbatu. Kategori menantang; cocok pendaki berpengalaman. View pantai–Makassar–Bawakaraeng dari puncak sangat memanjakan.",https://datagunung.com/images/mobile-Lompobattang.webp
,Sulawesi Selatan,Bawakaraeng,2830,"Gunung favorit Sulsel; jalur rapi 10 pos via Lembanna. Medan panjang dengan beberapa tanjakan berbatu, sumber air ada di beberapa pos. Kawah lapang di puncak dan panorama 360° jadi andalan.",https://cdn.rri.co.id/berita/Makassar/o/1750738288471-ILUSTRASI_PUNCAK_GUNUNG/o88w2m0618pskrg.jpeg
,Sulawesi Selatan,Bulu Baria,2730,"Bagian dari gugusan Lompobattang. Hutan rapat, jalur sunyi dengan sedikit penanda; biasa 2 hari 1 malam. Menawarkan pemandangan pegunungan Gowa dan awan pagi dari punggungan terbuka.",https://www.eigeradventure.com/blog/wp-content/uploads/2025/05/31.png
,Sulawesi Selatan,Manimporok,1661,"Bukit-gunung hutan tropis yang relatif ramah. Trek tanah akar, licin saat hujan; cocok pendaki pemula menuju menengah, 1–2 hari. Puncak memberi lanskap pedesaan dan lembah hijau.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Soputan-Manimporok_dari_Desa_Tombatu.JPG/1200px-Soputan-Manimporok_dari_Desa_Tombatu.JPG
,Sulawesi Selatan,Bulu Saraung,1353,Di kawasan TN Bantimurung-Bulusaraung (karst). Jalur pendek tapi curam berbatu (±4 jam); populer sebagai pendakian sehari. Puncak menampilkan gelombang karst Maros dan lautan awan pagi.,https://indonesiakaya.com/wp-content/uploads/2020/10/Perjalanan_dari_pos_kesembilan_menuju_puncak_Gunung_Bulusaraung_hanya_memakan_waktu_sekitar_tiga_puluh_menit.jpg
,Kalimantan Selatan,Halau-Halau,1901,"Atap Pegunungan Meratus—rimba tropis murni. Akses via Kiyu/Loksado, 3–5 hari, menyeberang sungai dan jalur naik-turun tanpa view luas. Berat karena terpencil dan lembap; disarankan guide lokal.",https://cdn.antaranews.com/cache/1200x800/2025/03/31/DSC02525.jpg
,Kalimantan Selatan,Magaringsai,1600,"Punggungan Meratus yang jarang dikunjungi. Trek rimba, pacet, dan jalur tanah licin jadi ciri; logistik air mengandalkan sungai. Cocok untuk ekspedisi ringan 2 hari dengan pengalaman hutan yang kuat.",https://teladankalimantan.com/wp-content/uploads/2023/10/teladan-kalimantan-4-1536x868.jpg
,Kalimantan Selatan,Kahung,1456,"Dekat Lembah Kahung yang kaya air terjun dan hutan primer. Treknya remote, banyak lintah dan sedikit penanda; biasanya fokus trekking sungai dan camp. Puncak berhutan, view sesekali ke bukit Meratus.",https://www.gunungbagging.com/wp-content/NEXTGEN/kahung/DSCN3745.JPG
,Kalimantan Tengah,Bukit Raya,2278,"Tertinggi di Kalimantan Indonesia (TN Bukit Baka–Bukit Raya). Akses dan trekking panjang 4–6 hari menembus rimba lebat; sedikit panorama, tapi biodiversitas luar biasa. Wajib pakai pemandu adat Dayak.",https://upload.wikimedia.org/wikipedia/commons/7/7d/Gunung_Bukit_Raya.jpg
,Malaysia ,Kinabalu,4095,"Monolit granit raksasa (UNESCO). Pendakian terkelola baik: rute Timpohon 2 hari, bermalam di Laban Rata, final push di slab granit bertali. Berat karena tinggi, namun jalur aman—sunrise dari Low’s Peak tak terlupa.",https://media.istockphoto.com/id/1278256547/id/foto/pemandangan-udara-yang-indah-dari-pegunungan-berbatu-gunung-kinabalu.jpg?s=612x612&w=0&k=20&c=qDHT7SSGvw2Y2WmFgraOrBJsR17clKrLWgg4iqmqIbA=
FATHIR,Jawa Tengah,Merbabu,3145,"Merbabu sering disebut sebagai “saudara” dari Gunung Merapi karena letaknya berdekatan. Jalur pendakian Merbabu punya beberapa akses, salah satu yang populer adalah via Selo. Medannya cukup menantang di bagian atas, dengan tanjakan curam dan pemandangan vegetasi yang berubah dari hutan ke rumput pegunungan. Keistimewaan Merbabu adalah panorama yang indah ke arah Merapi dan gunung-gunung di sekitarnya, terutama saat sunrise atau sunset. Karena jalurnya relatif ramai dan sudah dikenal baik di kalangan komunitas pendaki, fasilitas pendukung seperti pos dan jalur cukup terawat.",https://indonesiatraveler.id/wp-content/uploads/2021/08/Jawa-Tengah-Taman-Nasional-Gunung-Merbabu1.png
,Jawa Tengah,Lawu,3265,"Gunung Lawu terletak di perbatasan Jawa Tengah dan Jawa Timur dengan ketinggian sekitar 3.265 meter. Gunung ini terkenal karena memiliki suasana mistis dan nilai spiritual tinggi bagi masyarakat Jawa. Terdapat beberapa jalur pendakian populer seperti Cemoro Sewu, Cemoro Kandang, dan Candi Cetho. Di lerengnya juga terdapat candi-candi peninggalan Hindu seperti Candi Sukuh dan Candi Cetho. Pemandangan dari puncak Lawu sangat menawan, terutama saat matahari terbit dengan lautan awan yang luas dan udara sejuk khas pegunungan tinggi.",https://triptofun.id/wp-content/uploads/2021/08/gunung_lawu_iqbalxpangestu.jpg
,Sulawesi Utara,karangetang,1784,"Gunung Karangetang merupakan salah satu gunung api paling aktif di Indonesia, dengan ketinggian sekitar 1.827 meter. Terletak di Pulau Siau, gunung ini sering mengeluarkan lava dan abu vulkanik, menjadikannya objek penelitian vulkanologi penting. Meski berbahaya, pesonanya tetap menarik karena dari lerengnya pendaki dapat melihat langsung panorama laut biru Sulawesi. Pendakian ke Karangetang hanya disarankan bagi pendaki berpengalaman dan saat kondisi aman.",https://datagunung.com/images/Karangetan.webp
,Sumatra Utara,Sinabung,2460,"Gunung Sinabung berdiri di dataran tinggi Karo dengan ketinggian sekitar 2.460 meter. Setelah ratusan tahun tertidur, gunung ini kembali aktif pada tahun 2010 dan beberapa kali meletus besar. Kini kawasan sekitarnya menjadi zona terbatas, namun panorama alam Sinabung tetap memukau, terutama dari kejauhan saat asap putih membumbung di atas puncaknya. Lerengnya dipenuhi ladang pertanian khas Karo dan udara sejuk pegunungan.",https://mmc.tirto.id/image/2018/02/19/erupsi-gunung-sinabung--2-antara-foto-antara-foto-2_ratio-16x9.jpg
,Sumatra Utara,Sibayak,2212,"Gunung Sibayak adalah gunung api aktif yang populer di kalangan wisatawan karena jalurnya mudah dan relatif aman. Ketinggiannya sekitar 2.181 meter. Dari puncaknya, pengunjung dapat melihat kawah berwarna kekuningan dengan semburan uap belerang serta panorama kota Berastagi di bawahnya. Gunung ini sering didaki untuk menikmati matahari terbit dan suasana pagi di dataran tinggi yang sejuk.",https://datagunung.com/images/Sibayak.webp
,Sumatra Utara,Gunung Toba,2157,"Gunung Toba sebenarnya adalah sisa dari supervulkan raksasa yang meletus puluhan ribu tahun lalu dan membentuk Danau Toba. Kaldera besar itu kini menjadi danau vulkanik terbesar di dunia. Di tengahnya berdiri Pulau Samosir, yang terbentuk dari sisa tekanan magma di dasar danau. Gunung Toba bukan lagi gunung yang bisa didaki secara konvensional, tetapi kawasan kalderanya menawarkan pemandangan spektakuler, sejarah geologi luar biasa, dan kekayaan budaya Batak yang kental.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Danau_Toba.jpg/500px-Danau_Toba.jpg
,Sumatra Utara,Sorikmarapi,2145,"Gunung Sorikmarapi adalah gunung api aktif dengan ketinggian sekitar 2.145 meter, terletak di Kabupaten Mandailing Natal. Gunung ini memiliki kawah dengan danau kecil berwarna hijau kebiruan. Jalur pendakiannya tidak terlalu sulit, namun perlu kewaspadaan karena adanya aktivitas uap panas. Lerengnya masih alami, dihiasi hutan tropis dan suara burung, menjadikannya lokasi favorit untuk pecinta alam.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Sorikmarapi.jpg/500px-Sorikmarapi.jpg
,Aceh,Leuser,3119,"Gunung Leuser memiliki ketinggian sekitar 3.466 meter dan menjadi bagian dari Taman Nasional Gunung Leuser. Pendakian gunung ini dikenal sangat berat karena medannya berupa hutan hujan tropis lebat dan jalur panjang yang bisa memakan waktu lebih dari sepuluh hari. Gunung ini merupakan rumah bagi banyak satwa langka seperti orangutan Sumatra dan gajah liar. Dari puncaknya, panorama hutan Aceh dan pegunungan Bukit Barisan terlihat megah membentang.",https://datagunung.com/images/Leuser.webp
,Aceh,Peuet Sagoe,2801,"Gunung Peuet Sagoe adalah gunung api aktif di Kabupaten Pidie dengan ketinggian sekitar 2.780 meter. Gunung ini memiliki empat puncak besar dan menjadi salah satu gunung tertinggi di wilayah utara Aceh. Jalurnya masih alami dan belum banyak dijamah pendaki, memberikan sensasi petualangan yang tenang dan menantang. Vegetasi di sekitarnya lebat, dengan udara dingin dan kabut tebal hampir sepanjang hari.",https://datagunung.com/images/mobile-Peuet%20Sagoe.webp
,Jawa Tengah,Sumbing,3371,"Gunung Sumbing memiliki ketinggian 3.371 meter dan merupakan salah satu gunung tertinggi di Jawa Tengah. Gunung ini bersebelahan dengan Sindoro dan sering disebut “gunung kembar.” Jalur pendakiannya menantang dengan pemandangan lembah luas, ladang sayur, dan awan tebal yang menggantung di puncak. Dari puncak Sumbing, pemandangan Gunung Merapi, Merbabu, dan Sindoro terlihat jelas saat cuaca cerah.",https://datagunung.com/images/Sumbing.webp
,Jawa Tengah,Slamet,3432,"Gunung Slamet adalah gunung tertinggi di Jawa Tengah, dengan ketinggian sekitar 3.428 meter. Gunung ini memiliki jalur pendakian yang panjang dan berbatu, serta cuaca yang cepat berubah. Meskipun dikenal berat, Slamet tetap menjadi favorit pendaki karena panoramanya yang megah dan pemandangan kawah aktif yang mengeluarkan asap putih di puncak. Pendaki sering memulai perjalanan dari jalur Bambangan, yang merupakan rute paling populer.",https://datagunung.com/images/Slamet.webp
,Jawa Tengah,Sindoro,3154,"Gunung Sindoro berdiri berdampingan dengan Gunung Sumbing, dengan ketinggian sekitar 3.136 meter. Gunung ini termasuk gunung berapi aktif dengan kawah besar di puncaknya. Jalur pendakiannya menanjak konstan tetapi tidak terlalu ekstrem, cocok untuk pendaki berpengalaman menengah. Dari puncaknya, pendaki dapat melihat hamparan kebun tembakau, ladang sayur, dan pemandangan gunung-gunung di sekitarnya.",https://datagunung.com/images/Sindoro.webp
,Jawa Tengah,Merapi,2968,"Gunung Merapi adalah gunung berapi paling aktif di Indonesia dengan ketinggian sekitar 2.930 meter. Terletak di perbatasan Sleman (DIY) dan Magelang (Jateng), Merapi sering mengeluarkan lava pijar dan abu vulkanik. Meski berbahaya, gunung ini tetap populer karena kemegahan dan pesonanya. Pendakian biasanya dilakukan melalui jalur Selo, dan dari puncak, pendaki dapat melihat kota Yogyakarta serta Gunung Merbabu di seberangnya.",https://datagunung.com/images/Merapi.webp
,Jawa Tengah,Prau,2590,"Gunung Prau terkenal sebagai gunung favorit pendaki pemula dengan ketinggian sekitar 2.565 meter. Gunung ini berada di kawasan Dataran Tinggi Dieng dan dikenal karena “sunrise terindah di Jawa Tengah”. Jalur pendakiannya singkat dan mudah, hanya 2–3 jam dari basecamp. Puncaknya berupa padang rumput luas yang dipenuhi bunga edelweiss dan panorama lima gunung besar di sekitarnya.",https://datagunung.com/images/Prau.webp
,Jawa Tengah,Pakuwaja,2421,"Gunung Pakuwaja adalah salah satu gunung kecil di kawasan Dieng, dengan ketinggian sekitar 2.400 meter. Gunung ini tidak terlalu populer, tetapi menyimpan keindahan alam khas Dieng dengan padang rumput, bukit berundak, dan kabut tebal yang sering menyelimuti. Jalur pendakiannya pendek dan cocok untuk hiking santai atau wisatawan yang ingin menikmati pemandangan tanpa pendakian berat.",https://cdn.idntimes.com/content-images/community/2024/05/20240525-204247-7f6d7427829c50abde5fbdce33b82d50.jpg
,Jawa Tengah,Ungaran,2050,"Gunung Ungaran memiliki ketinggian sekitar 2.050 meter dan terletak dekat Kota Semarang. Gunung ini cocok untuk pendakian singkat satu hari karena medannya tidak terlalu sulit. Di lerengnya terdapat air terjun, perkebunan teh, dan situs Candi Gedong Songo. Dari puncak, terlihat pemandangan kota Semarang dan Laut Jawa di kejauhan.",https://datagunung.com/images/Ungaran.webp
,Aceh,Geureudong,2885,"Gunung Geureudong memiliki ketinggian sekitar 2.885 meter dan terletak di pedalaman Aceh Tengah. Gunung ini jarang didaki karena medannya berat dan vegetasinya lebat. Namun bagi pendaki berpengalaman, Geureudong menawarkan keindahan alami yang luar biasa berupa hutan tropis, kabut pegunungan, dan panorama lembah luas. Suasana alamnya masih sangat perawan dan sunyi.",https://datagunung.com/images/Geureudong.webp
,Jawa Tengah,Kembang,2340,"Gunung Kembang adalah gunung kecil yang terletak di antara Gunung Sindoro dan Gunung Sumbing, dengan ketinggian sekitar 2.340 meter. Jalurnya pendek tapi cukup menanjak, cocok untuk latihan sebelum mendaki gunung tinggi. Dari puncaknya, pemandangan dua gunung kembar Sumbing–Sindoro terlihat sangat jelas, terutama saat matahari terbit.",https://superlive.id/storage/articles/mobile/mobile_6303599d-8bf0-41f9-a041-9f7d00f22d26.jpg
,Lampung,Tanggamus,2100,"Gunung Tanggamus memiliki ketinggian sekitar 2.100 meter dan berada di Kabupaten Tanggamus. Gunung ini dikelilingi hutan tropis lebat dan menjadi sumber air bagi banyak sungai di sekitarnya. Jalur pendakiannya tidak terlalu sulit dan cocok untuk pendaki lokal. Dari puncaknya, terlihat Teluk Semaka dan hamparan laut Lampung bagian barat yang sangat indah.",http://4.bp.blogspot.com/-q0ITBqNy1UI/VphfgPTe6hI/AAAAAAAAAaU/nrjNhhSpquU/s1600/aaaa.jpg
,Sulawesi Utara,Klabat,1995,Gunung Klabat merupakan gunung tertinggi di Sulawesi Utara dengan ketinggian sekitar 1.995 meter. Gunung ini berada di dekat kota Airmadidi dan termasuk gunung berapi tipe strato yang kini tidak aktif. Jalurnya cukup menanjak namun aman untuk pendakian satu hari. Di puncaknya terdapat danau kecil berbentuk kawah dan panorama laut serta Pulau Lembeh yang menakjubkan.,"https://atourin.obs.ap-southeast-3.myhuaweicloud.com/images/destination/minahasa-utara/gunung-klabat-profile1645959098.png?x-image-process=image/resize,p_100,limit_1/imageslim"
RANDRA,Bali,Abang,2151,"Memiliki ketinggi 2151 mdpl, terletak di Kabupaten Bangli, Kecamatan Kintamani, Bali. Tergolong gunung api yang tidak aktif.",https://datagunung.com/images/mobile-Abang.webp
,Bali,Agung,3142,"Merupakan gunung tertinggi di Bali, terletak di Kecamatan Rendang, Kabupaten Karangasem. Pada lereng gunung terdapat pura Besakih. Gunung Agung merupakan gunung berapi bertipe strato.",https://datagunung.com/images/mobile-Agung.webp
,Jawa Tengah,Andong,1726,"Terletak di Desa Ngablak di Kecamatan Ngablak dan Desa Tlogorejo di Kecamatan Grabag, Kabupaten Magelang, Jawa Tengah.
Gunung Andong bersebelahan dengan Gunung Telomoyo. Pada lereng Gunung Andong terdapat Hutan Wisata Mangli. 
Gunung Andong memiliki 4 puncak: Puncak Makam, Jiwa, Andong, dan Alap-alap.",https://datagunung.com/images/mobile-Andong.webp
,Jawa Timur,Argopuro,3088,"Argopuro, gunung yang memiliki trek terpanjang di Jawa Timur. Dua jalur mencapai puncak via Bremi atau  Baderan, menyajikan pemandangan yang tidak mudah dilupakan.",https://datagunung.com/images/mobile-Argopuro.webp
,Jawa Timur,Arjuno,3339,"Gunung Arjuno terletak di Kabupaten Malang dan Kabupaten Pasuruan. Gunung ini berdekatan dengan Gunung Welirang dan Gunung Semeru, yang merupakan gunung tertinggi di Jawa Timur. Gunung ini berada di bawah pengelolaan Taman Hutan Raya Raden Soerjo.

Gunung Arjuno bersebelahan dengan Gunung Welirang, Gunung Kembar I, dan Gunung Kembar II. Puncak Gunung Arjuno berdekatan dengan puncak gunung Welirang, sehingga kompleks ini sering disebut juga dengan Arjuno-Welirang. 

Gunung Arjuno memiliki ketinggian sekitar 3.339 mdpl, merupakan gunung tertinggi kedua di Jawa Timur setelah Gunung Semeru.

Pada kawasan gunung Arjuno terdapat mata air sungai Brantas. Mata air sungai Brantas terletak di Desa Sumber Brantas, Bumiaji, yang merupakan sungai terpanjang kedua di Pulau Jawa setelah Bengawan Solo.",https://datagunung.com/images/mobile-Arjuno-Welirang.webp
,Bali,Batur,1717,"Terletak di kecamatan Kintamani, kabupaten Bangli, Bali.
Memiliki beberapa rute pendakian diantaranya:
- Via Pura Pasar Agung
- Via Toya Bungkah 
- Via Serongga
- Via Bukit Mentik

Di Gunung Batur terdapat aliran air yang mengalir ke Danau Batur, danau terbesar di Bali.",https://images.unsplash.com/photo-1508591086314-d7deb00cede9?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=800&h=450&q=80
,Sulawesi Selatan,Bawakaraeng,2830,"Gunung Bawakaraeng adalah sebuah keindahan alam yang memukau di pulau Sulawesi, Indonesia. Terletak di provinsi Sulawesi Selatan, gunung berapi ini menawarkan pemandangan yang menakjubkan dan pengalaman yang tak terlupakan bagi para pengunjung yang mencintai petualangan dan keindahan alam.

Ketinggian Gunung Bawakaraeng, bersama dengan keberadaannya sebagai bagian dari busur vulkanik Sulawesi, memberikan daya tarik tersendiri. Dikelilingi oleh hamparan hijau dan kebun pertanian, gunung ini tidak hanya menawarkan pemandangan alam yang menakjubkan, tetapi juga memberikan kesempatan bagi para pendaki dan pencinta alam untuk menjelajahi keindahan yang alami dan unik.

Sulawesi Selatan memiliki kekayaan budaya yang kaya, dan Gunung Bawakaraeng menjadi bagian integral dari lanskap geografis dan sejarah lokal. Ketika Anda mendaki gunung ini, Anda akan merasakan kekayaan alam dan keindahan budaya yang melekat pada setiap langkah perjalanan Anda.",https://datagunung.com/images/mobile-Bawakaraeng.webp
,Maluku,Binaiya,3027,"Gunung Binaiya terletak di pulau Seram provinsi Maluku, dengan ketinggian 3027 mdpl. Gunung ini berada dalam area Taman Nasional Manusela.

Gunung Binaiya juga merupakan bagian dari 7 Puncak Indonesia.",https://datagunung.com/images/mobile-Binaiya.webp
,Jawa Tengah,Bismo,2365,Gunung Bismo berada di provinsi Jawa Tengah dengan ketinggian 2365 mdpl.,https://datagunung.com/images/mobile-Bismo.webp
,Jawa Timur,Bromo,2329,"Gunung Bromo adalah sebuah gunung berapi aktif yang terletak di Jawa Timur, Indonesia. Gunung ini merupakan bagian dari kawasan Taman Nasional Bromo Tengger Semeru, yang juga mencakup Gunung Semeru, gunung tertinggi di Pulau Jawa. Berada pada ketinggian sekitar 2.329 meter di atas permukaan laut, Gunung Bromo menawarkan pemandangan alam yang spektakuler dan menjadi salah satu destinasi wisata paling populer di Indonesia.",https://images.unsplash.com/photo-1551172897-36d59dd6b7a1?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=800&h=450&q=80
