Nama Pencari,Provinsi Gunung,Nama Gunung,Tinggi (mdpl),Deskripsi,Foto (url)
,Jawa Barat,Cikuray,2821,"Gunung Cikuray terletak di Kabupaten Garut, Jawa Barat,  memiliki ketinggian 2821 mdpl dan merupakan gunung tertinggi keempat di Jawa Barat setelah Gunung Ciremai, Gunung Pangrango dan Gunung Gede.",https://datagunung.com/images/mobile-Cikuray.webp
,Jawa Barat,Ciremai,3078,"Gunung Ciremai adalah sebuah gunung berapi yang terletak di wilayah Jawa Barat, Indonesia. Gunung ini memiliki ketinggian 3.078 meter di atas permukaan laut dan merupakan gunung tertinggi di Provinsi Jawa Barat.

Gunung Ciremai terletak di wilayah Kabupaten Kuningan dan Kabupaten Majalengka. Gunung ini merupakan salah satu gunung berapi yang masih aktif di Indonesia, namun saat ini tidak tercatat adanya aktivitas vulkanik yang signifikan.",https://datagunung.com/images/mobile-Ciremai.webp
,Sumatera Selatan,Dempo,3173,"Gunung Dempo adalah gunung berapi kerucut yang terletak di Kabupaten Pagaralam, Sumatra Selatan, Indonesia. Gunung ini memiliki ketinggian sekitar 3.173 meter di atas permukaan laut, menjadikannya sebagai gunung tertinggi di wilayah Sumatra Selatan.

Gunung Dempo merupakan gunung api yang masih aktif dan terakhir kali meletus pada tahun 2009. Gunung ini juga dikenal sebagai salah satu gunung api yang paling aktif di Sumatra Selatan.

Gunung Dempo memiliki jalur pendakian yang cukup populer bagi para pendaki yang ingin menikmati pemandangan indah di sekitar gunung dan mencapai puncaknya. Terdapat beberapa jalur pendakian yang tersedia, namun jalur yang paling umum adalah melalui kawasan wisata air terjun Puncak Lawang, dengan rute pendakian yang relatif mudah dan diperkirakan dapat diselesaikan dalam waktu sekitar 5-7 jam.",https://datagunung.com/images/mobile-Dempo.webp
,Jawa Tengah,Dieng,2565,"Dataran Tinggi Dieng adalah sebuah dataran tinggi vulkanik yang terletak di Provinsi Jawa Tengah, Indonesia. Dataran tinggi ini terletak di wilayah Kabupaten Banjarnegara. Dataran Tinggi Dieng terkenal karena keindahan alamnya, fenomena geologi, dan warisan budayanya.

Dataran Tinggi Dieng terbentuk oleh aktivitas vulkanik dengan kawah yang mengeluarkan gas dan belerang. Di kawasan Dieng juga terdapat kompleks candi dan area pemandian air panas. Dataran Tinggi Dieng juga menawarkan pemandangan alam yang indah, termasuk ladang-ladang kentang, hamparan sawah, dan hijaunya perbukitan.",https://images.unsplash.com/photo-1611656600199-4d3a8845c233?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=800&h=450&q=80
,Maluku Utara,Dukono,1335,"Gunung Dukono adalah sebuah gunung berapi yang terletak di pulau Halmahera, bagian dari provinsi Maluku Utara, Indonesia. Gunung ini dikenal sebagai salah satu gunung berapi yang aktif di Indonesia. Dukono terletak di bagian utara Halmahera dan merupakan bagian dari Cincin Api Pasifik, yang merupakan zona seismik aktif di mana sejumlah besar gunung berapi terletak.",https://datagunung.com/images/mobile-Dukono.webp
,NTT,Ebulobo,2124,Gunung Ebulobo berada di provinsi Nusa Tenggara Timur dengan ketinggian 2124 mdpl.,https://datagunung.com/images/mobile-Ebulobo.webp
,Jawa Barat,Galunggung,2168,"Terletak di Kabupaten Tasikmalaya, Jawa Barat. Gunung Galunggung adalah gunung api yang bertipe strato.
Gunung ini memiliki 2 puncak yaitu Puncak Dinding Ari dan Puncak Beuticanar.
Jalur pendakian:
Jalur Cigalontang atau wilayah Geger Hanjuang, Desa Linggamulya, Kecamatan Leuwisari, Kabupaten Tasikmalaya.
Untuk mencapai kawah Gunung Galunggung bisa berjalan melalui anak tangga yang berjumlah sekitar 620 atau juga bisa memanfaatkan jasa ojek.",https://datagunung.com/images/mobile-Galunggung.webp
,Maluku Utara,Gamalama,1715,"Gunung Gamalama merupakan gunung berapi aktif yang berada di pulau Ternate, provinsi Maluku Utara.",https://datagunung.com/images/mobile-Gamalama.webp
,Jawa Barat,Gede,2958,Gunung Gede berada di provinsi Jawa Barat dengan ketinggian 2958 mdpl.,https://datagunung.com/images/mobile-Gede.webp
,Jawa Barat,Guntur,2249,"Gunung Guntur di Kabupaten Garut, Jawa Barat meiliki jalur pendakian yang relatif mudah dan singkat, namun menyajikan pemandangan yang indah.",https://datagunung.com/images/mobile-Guntur.webp
RASYAD,Jawa Timur,Anjasmoro,2372,"Gunung Anjasmoro merupakan pegunungan yang terdapat di pulau Jawa, Indonesia. Ada lebih dari 40 puncak dan salah satunya yang tertinggi adalah Puncak Gunung Biru dengan ketinggian 2.331 meter dan Puncak Anjasmoro dengan ketinggian 2.269 meter keduanya berada di wilayah Kabupaten Mojokerto.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Gunung_Anjasmoro_dari_Pujon.jpg/330px-Gunung_Anjasmoro_dari_Pujon.jpg
,Jawa Timur,Kelud,1731,"Gunung Kelud adalah sebuah gunung berapi di Jawa Timur yang hingga sekarang tergolong aktif. Gunung ini berada di perbatasan antara Kabupaten Kediri, Kabupaten Blitar, dan Kabupaten Malang.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Kelut.jpg/330px-Kelut.jpg
,Jawa Timur,Liman,2563,"Gunung Liman (terkadang dieja Gunung Ngliman) adalah sebuah gunung berapi (istirahat) yang terletak di Jawa Timur, Indonesia.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Wilis.jpg/330px-Wilis.jpg
,Jawa Timur,Penanggungan,1653,"Gunung Penanggungan berada sekitar 55 kilometer sebelah timur Kota Surabaya, dekat dengan kota Mojokerto dan Pasuruan. Gunung Penanggungan memiliki ketinggian sekitar 1.653 meter di atas permukaan laut.

Gunung Penanggungan memiliki sejarah dan kebudayaan yang kaya. Pada abad ke-11 hingga ke-15, gunung ini menjadi pusat kerajaan Hindu dan Buddha di Jawa Timur. Terdapat banyak situs bersejarah yang masih dapat ditemukan di sekitar Gunung Penanggungan, seperti candi-candi dan peninggalan arkeologi lainnya.

Terdapat beberapa kompleks candi di area Gunung Penanggungan seperti Gentong, Wisnu, Jolutundo dan Bayi.

Selain nilai sejarah dan arkeologisnya, Gunung Penanggungan juga menawarkan panorama alam yang menakjubkan. Terdapat beberapa jalur pendakian yang dapat dipilih oleh para pendaki, seperti jalur dari Jolotundo, Tamiajeng atau Kedungudi. Pendakian ke puncak gunung ini relatif mudah, dan pemandangan yang ditemui di puncak akan memuaskan para pendaki.",https://datagunung.com/images/mobile-Penanggungan.webp
,Jawa Timur,Bromo,2329,"Gunung Bromo adalah sebuah gunung berapi aktif yang terletak di Jawa Timur, Indonesia. Gunung ini merupakan bagian dari kawasan Taman Nasional Bromo Tengger Semeru, yang juga mencakup Gunung Semeru, gunung tertinggi di Pulau Jawa. Berada pada ketinggian sekitar 2.329 meter di atas permukaan laut, Gunung Bromo menawarkan pemandangan alam yang spektakuler dan menjadi salah satu destinasi wisata paling populer di Indonesia.

Berikut adalah beberapa ciri khas dan deskripsi tentang Gunung Bromo:

Landscape Unik: Gunung Bromo terkenal karena lanskapnya yang unik. Kawah gunung yang aktif, dikelilingi oleh lautan pasir berwarna abu-abu, menciptakan pemandangan yang dramatis dan surreal.

Kawah Bromo: Kawah Gunung Bromo memiliki diameter sekitar 800 meter dan terus mengeluarkan asap putih yang menciptakan pemandangan mistis. Pengunjung dapat mendaki ke puncak kawah untuk melihat pemandangan yang menakjubkan dari ketinggian.

Padang Pasir Lautan Pasir: Di sekitar Gunung Bromo, terdapat lautan pasir luas yang menciptakan suasana gurun. Pengunjung dapat menyaksikan pemandangan ini saat perjalanan menuju kawah, baik dengan berjalan kaki atau naik kuda.

Pemandangan Sunrise yang Memukau: Salah satu momen paling populer di Gunung Bromo adalah matahari terbit. Banyak pengunjung memilih untuk naik ke puncak Bukit Penanjakan untuk menyaksikan pemandangan matahari terbit yang memukau, dengan Gunung Bromo sebagai latar belakang.

Tradisi Keagamaan Tengger: Kawasan sekitar Gunung Bromo dihuni oleh suku Tengger. Masyarakat Tengger memiliki tradisi unik, termasuk upacara adat dan ritual keagamaan yang berkaitan dengan gunung ini.

Aksesibilitas: Meskipun terletak di pedalaman Jawa Timur, Gunung Bromo relatif mudah diakses dari kota-kota terdekat seperti Malang dan Probolinggo. Wisatawan dapat menggunakan kendaraan pribadi atau memanfaatkan layanan tur wisata yang tersedia.

Gunung Bromo tidak hanya menarik bagi para pecinta alam dan pendaki gunung, tetapi juga bagi mereka yang tertarik dengan keindahan alam yang eksotis dan warisan budaya Indonesia.",https://images.unsplash.com/photo-1551172897-36d59dd6b7a1?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=800&h=450&q=80
,NTB,Punikan,1418,Gunung Punikan berada di provinsi Nusa Tenggara Barat dengan ketinggian 1418 mdpl.,https://upload.wikimedia.org/wikipedia/commons/d/da/Gundukan_Punikan.jpg
,NTB,Sangeang Api,1949,Gunung Sangeang Api berada di provinsi Nusa Tenggara Barat dengan ketinggian 1949 mdpl.,https://cdn1-production-images-kly.akamaized.net/gGZhsLZdV7qPRySjFg3Ts1LbQMg=/500x281/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/4684052/original/061704700_1702419751-WhatsApp_Image_2023-12-12_at_21.01.24.jpeg
,NTB,Rinjani,3726,"Gunung Rinjani adalah gunung berapi aktif yang terletak di Pulau Lombok, Nusa Tenggara Barat.
Terbentuk dari letusan vulkanik yang terjadi ribuan tahun yang lalu dan terus mengalami aktivitas vulkanik hingga saat ini. Puncak Rinjani dikelilingi oleh kawah yang luas dan danau yang terbentuk akibat letusan dahsyat pada masa lalu.
Kawah ini dikenal dengan sebutan Segara Anak yang memiliki kedalaman sekitar 230 meter dan di dalamnya terdapat Gunung Baru Jari yang merupakan gunung berapi muda.

Kawasan Rinjani memiliki keindahan alam yang luar biasa dan pemandangan indah dari puncak yang menakjubkan. Selain itu, kawasan Rinjani merupakan tempat bagi berbagai spesies flora dan fauna yang langka.

Pendakian ke Gunung Rinjani juga membutuhkan persiapan fisik dan mental prima karena jalur pendakian ke puncak cukup umumnya membutuhkan waktu yang relatif lama.",https://datagunung.com/images/mobile-Rinjani.webp
,NTB,Tambora,2722,Gunung Tambora berada di provinsi Nusa Tenggara Barat dengan ketinggian 2722 mdpl.,https://kwriu.kemdikbud.go.id/wp-content/uploads/2017/04/Tambora-742x440.jpg
,Bengkulu,Kaba,1952,"Gunung Kaba berada di provinsi Bengkulu dengan ketinggian 1952 mdpl.
",https://travelspromo.com/wp-content/uploads/2022/04/Pemandangan-kawah-hijau-toska-bukit-kaba.jpg
,Bengkulu,Bukit Daun,2467,"Gunung Bukit Daun berada di provinsi Bengkulu dengan ketinggian 2467 mdpl.
",https://asset.kompas.com/crops/ZEEU5XB4MWMgdQ85tIFVUno_J64=/0x21:1200x621/780x390/data/photo/2022/11/24/637edbd740304.jpg
,Bengkulu,Kunyit,2151,Gunung Kunyit berada di provinsi Bengkulu dengan ketinggian 2151 mdpl.,https://datagunung.com/images/mobile-Kunyit.webp
,Bengkulu,Patah,2852,Gunung Patah berada di provinsi Bengkulu dengan ketinggian 2852 mdpl.,https://datagunung.com/images/mobile-Patah.webp
,NTT,Egon,1703,Gunung Egon berada di provinsi Nusa Tenggara Timur dengan ketinggian 1703 mdpl.,https://awsimages.detik.net.id/community/media/visual/2024/11/03/gunung-egon_169.jpeg?w=1200
,NTT,Iliboleng,1659,Gunung Iliboleng berada di provinsi Nusa Tenggara Timur dengan ketinggian 1659 mdpl.,https://www.tourfloreskomodo.com/wp-content/uploads/2018/02/inerie.jpg
,NTT,Inierie,2245,Gunung Inierie berada di provinsi Nusa Tenggara Timur dengan ketinggian 2245 mdpl.,https://datagunung.com/images/mobile-Inierie.webp
,NTT,Ebulobo,2124,Gunung Ebulobo berada di provinsi Nusa Tenggara Timur dengan ketinggian 2124 mdpl.,https://datagunung.com/images/mobile-Ebulobo.webp
,Sulawesi Tengah,Bulu Torompupu,2463,"Memiliki ketinggian 2463 mdpl, lokasi gunung Torompupu yang berada di Desa Salua, kecamatan Kulawi, kabupaten Sigi, Sulawesi Tengah.

Gunung Torompupu merupakan bagian dari gugusan pegunungan Gawalise.
Jalur pendakiannya diperkenalkan oleh Mapala Sagarmatha Universitas Tadulako pada tahun 2002 dan sejak itu mulai sering dikunjungi para pendaki lokal maupun pendaki dari luar Sulawesi.",https://salutbali.com/wp-content/uploads/2024/02/Gunung-Tambusisi-1024x685.webp
,Sulawesi Tengah,Gawalise,2023,Gunung Gawalise berada di provinsi Sulawesi Tengah dengan ketinggian 2023 mdpl.,https://s3-us-west-1.amazonaws.com/peakery-media/images/items/main/cache/gunung-gawalise-1.jpg.1920x1440_q95_crop.jpg
,Sulawesi Tengah,Nokilalaki,2355,"Terletak di Sulawesi Tengah dan termasuk dalam kawasan Taman Nasional Lore Lindu. Gunung Nokilalaki memiliki ketinggian sekitar 2355 mdpl.

Untuk mencapai jalur utama menuju Nokilalaki, dapat dimulai dari persawahan Palolo dan Desa Tongoa.",https://static.republika.co.id/uploads/images/inpicture_slide/danau-lindu-dengan-latar-belakang-gunung-nokilalaki-_190723193654-532.jpg
ALFA,Jawa Barat,Burangrang,2050,"Gunung Burangrang adalah sebuah gunung api mati yang terletak di Pulau Jawa, Indonesia, dengan ketinggian mencapai 2.050 meter di atas permukaan laut. Gunung ini merupakan salah satu sisa dari letusan besar Gunung Sunda pada Zaman Prasejarah dan lokasinya bersebelahan dengan Gunung Sunda.","https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1634025439/01hxyajspspr2649mx4few438m.jpg"
,Jawa Barat,Kendang,2608,"Gunung Kendang adalah sebuah gunung berapi stratovolcano yang terletak di perbatasan antara Kecamatan Kertasari, Kabupaten Bandung, dan Kecamatan Pasirwangi, Kabupaten Garut, Jawa Barat. Gunung ini memiliki ketinggian 2.608 meter (8.556 kaki)",https://media.istockphoto.com/photos/mount-kendang-from-papandayan-picture-id689287910?k=20&m=689287910&s=612x612&w=0&h=HR1RmtXJRJQ3RnwaaLkRhSJORpurwF6IorLrRCcUzUc=
,Jawa Barat,Pangrango,3019,"Gunung Pangrango adalah sebuah gunung berapi tidak aktif (stratovolcano) yang berlokasi di bagian barat Pulau Jawa, Indonesia. Dengan ketinggian 3.023 meter di atas permukaan laut, gunung ini merupakan yang tertinggi kedua di Jawa Barat setelah Gunung Ceremai. Puncaknya dikenal sebagai Puncak Mandalawangi, yang juga menjadi titik pertemuan tiga wilayah kabupaten: Bogor, Cianjur, dan Sukabumi.",https://travelspromo.com/wp-content/uploads/2019/04/Taman-Nasional-Gunung-Gede-Pangrango.-Foto-Gmap-Abhi-Supryandi-e1556503633354.jpg
,Jawa Barat,Papandayan,2665,"Gunung Papandayan adalah gunung api stratovolcano yang berlokasi di Kecamatan Cisurupan, Kabupaten Garut, Jawa Barat. Gunung ini memiliki ketinggian 2.665 meter di atas permukaan laut dan terletak sekitar 70 km di sebelah tenggara Kota Bandung. Topografi di sekitar gunung ini curam, berbukit, dan memiliki tebing terjal. Iklimnya tergolong tipe B menurut klasifikasi Schmidt dan Ferguson, dengan suhu rata-rata 10∘C.",http://2.bp.blogspot.com/-f8nvVs3vv1o/VR8piMaOQGI/AAAAAAAAE9o/lJMivb7KAgs/s1600/0849f1a91d68a7de2050c5bd46fbb5ac.jpg
,Jawa Barat,Patuha,2434,"Gunung Patuha adalah sebuah gunung yang terletak di Rancabali, Ciwidey, Kabupaten Bandung, Jawa Barat, dengan ketinggian 2.434 meter. Gunung ini dijuluki ""Pak Tua"" karena usianya yang diperkirakan sangat tua, muncul ke permukaan saat Dataran Tinggi Bandung masih berupa dasar samudra. Secara geologis, gunung ini merupakan gunung api tipe ""B"" berjenis stratovolcano.",https://www.gotravelly.com/blog/wp-content/uploads/2022/02/gunung-patuha.jpg
,Jawa Barat,Salak,2211,"Gunung Salak adalah sebuah kompleks gunung berapi tua yang terletak di selatan Jakarta, tepatnya di wilayah Kabupaten Sukabumi dan Kabupaten Bogor, Jawa Barat. Nama ""Salak"" bukan berasal dari nama buah, melainkan dari kata bahasa Sansekerta, ""salaka,"" yang berarti ""perak"". Sejak tahun 2003, kawasan hutannya menjadi bagian dari perluasan Taman Nasional Gunung Halimun-Salak.",https://jalanjalanaja.com/wp-content/uploads/2022/10/gunung-salak.jpg
,Jawa Barat,Tangkuban Perahu,2084,"Gunung Tangkuban Parahu adalah gunung api aktif berjenis Stratovolcano yang terletak di antara Kabupaten Subang dan Kabupaten Bandung Barat, Provinsi Jawa Barat. Berada sekitar 20 km di utara Kota Bandung, gunung ini memiliki ketinggian 2.086 meter. Daerah di sekitar gunung ini dikelola oleh Perum Perhutanan dengan suhu rata-rata harian 17∘C pada siang hari dan 2∘C pada malam hari.",https://i.pinimg.com/originals/1e/2b/01/1e2b019bc4811b308fc09f4a094c0ba5.jpg
,Jawa Barat,Tilu,1154,"Gunung Tilu adalah sebuah gunung yang terletak di dekat perbatasan Kabupaten Kuningan, Jawa Barat, dan Kabupaten Brebes, Jawa Tengah. Secara administratif, gunung ini termasuk dalam wilayah Desa Jabranti, Kecamatan Karangkancana, dan Desa Cimara, Kecamatan Cibeureum, di Kabupaten Kuningan. Penting untuk dicatat bahwa Gunung Tilu di Kuningan ini bukan merupakan gunung berapi.",https://www.javatravel.net/wp-content/uploads/2022/02/Gunung-Tilu-Kuningan.jpg
,Sumatera Barat,Marapi,2891,"Gunung Marapi adalah gunung berapi kompleks yang terletak di Provinsi Sumatera Barat, Indonesia. Secara administratif, gunung ini berada dalam wilayah Kabupaten Agam dan Kabupaten Tanah Datar. Dengan ketinggian mencapai 2.891 meter di atas permukaan laut, Gunung Marapi merupakan salah satu gunung paling aktif di Pulau Sumatra. Pemandangannya dapat dinikmati dari Kota Bukittinggi dan Kota Padang Panjang.",https://datagunung.com/images/Marapi.webp
,Sumatera Barat,Sago,2271,"Gunung Sago merupakan sebuah gunung yang berada di perbatasan Kabupaten Lima Puluh Kota dan Kabupaten Tanah Datar, Provinsi Sumatera Barat. Ketinggiannya mencapai 2.261 meter. Gunung ini memiliki beberapa puncak, di antaranya Puncak Sago Malintang, Puncak Rabuang, dan Puncak Batu.",https://i.ytimg.com/vi/BSYkmRi_qJk/maxresdefault.jpg
,Sumatera Barat,Singgalang,2877,"Gunung Singgalang adalah sebuah gunung yang terletak di Provinsi Sumatera Barat, Indonesia, dengan ketinggian 2.877 meter. Secara administratif, gunung ini berada di wilayah Kabupaten Agam dan Kabupaten Tanah Datar. Dari bentuknya, Gunung Singgalang disebut sangat mirip dengan Gunung Merbabu di Jawa Tengah.",https://assets-a1.kompasiana.com/items/album/2021/08/23/singgalang-pagi-hari-cover-61230b4b31a28717c8683312.jpg
,Sumatera Barat,Talamau,2919,"Gunung Talamau adalah gunung tertinggi di Sumatera Barat dengan ketinggian 2.920 meter, terletak di Kabupaten Pasaman Barat. Gunung ini merupakan gunung api tidak aktif (tipe B) yang berdampingan dengan Gunung Pasaman. Letusan terakhir yang tercatat terjadi pada 31 Oktober 1869, yang mengeluarkan abu vulkanis dan lava hingga menewaskan 368 ekor kerbau.",https://1.bp.blogspot.com/-rSQfN6k7C6E/Vsy0m5w76xI/AAAAAAAADCs/RU74BErWOZQ/s1600/talamau.jpg
,Sumatera Barat,Talang,2597,"Gunung Talang (dikenal juga sebagai Salasi atau Sulasi) adalah gunung berapi tipe stratovolcano aktif yang terletak di Kabupaten Solok, Sumatera Barat. Gunung ini memiliki ketinggian 2.597 meter dan salah satu kawahnya telah menjadi danau yang dikenal sebagai Danau Talang.",https://padangkita.com/wp-content/uploads/2017/07/gunung-talang-travelogue.ero_.jpg
,Jambi,Kerinci,3805,"Gunung Kerinci merupakan gunung tertinggi di Pulau Sumatra sekaligus gunung berapi tertinggi di Indonesia dan Asia Tenggara, dengan ketinggian 3.805 mdpl. Gunung ini terletak di perbatasan antara Kabupaten Kerinci, Jambi, dan Kabupaten Solok Selatan, Sumatera Barat.",https://datagunung.com/images/Kerinci.webp
,Maluku Utara,Dukuno,1335,"Gunung Dukono adalah sebuah kompleks gunung berapi yang terletak di bagian utara Pulau Halmahera, Indonesia. Gunung ini terdiri dari beberapa kawah dengan tingkat aktivitas yang tinggi. Ketinggian puncaknya mencapai 1.335 meter. Gunung Dukono memiliki sejarah letusan yang panjang. Pada tahun 1550, terjadi letusan besar yang lavanya mengisi selat antara Pulau Halmahera dan lereng utara Gunung Mamuya. Letusan dengan skala lebih kecil juga tercatat pada tahun 1719, 1868, dan 1901. Sejak tahun 1933, Gunung Dukono terus-menerus mengalami letusan-letusan kecil yang berkelanjutan hingga saat ini.",https://datagunung.com/images/Dukono.webp
,Kalimantan Selatan,Halau-Halau,1901,"Gunung Halau-halau, yang juga dikenal sebagai Gunung Besar, merupakan puncak tertinggi di Provinsi Kalimantan Selatan dengan ketinggian 1.901 meter di atas permukaan laut. Gunung ini terletak di Pegunungan Meratus dan menjadi titik perbatasan antara tiga kabupaten, yaitu Hulu Sungai Tengah, Hulu Sungai Selatan, dan Tanah Bumbu.",https://getlost.id/wp-content/uploads/2022/01/Ahmad-Royani.jpg
,Papua Tengah,Jayawijaya,4884,"Pegunungan Jayawijaya adalah rangkaian pegunungan yang membujur di antara Provinsi Papua Tengah dan Provinsi Papua Pegunungan, Indonesia. Rangkaian pegunungan ini merupakan yang tertinggi di Indonesia, dengan puncaknya yang paling tinggi adalah Puncak Jaya, yang mencapai 4.884 meter dari permukaan laut.",https://asset.kompas.com/crops/S5MRcfhQ0-2B4PWlJb2VxZYOKXs=/0x0:0x0/750x500/data/photo/buku/63214d6f7a8c4.jpg
,Sulawesi Utara,Karangetang,1827,"Gunung Karangetang, yang juga dikenal sebagai Api Siau, adalah sebuah gunung berapi stratovolcano yang terletak di Pulau Siau, Kabupaten Kepulauan Siau Tagulandang Biaro, Sulawesi Utara. Gunung ini merupakan salah satu gunung berapi teraktif di Indonesia, dengan lebih dari 40 letusan tercatat sejak tahun 1675. Dengan ketinggian 1.827 meter di Puncak Selatan, Karangetang adalah gunung tertinggi di lepas pantai Sulawesi Utara.",https://1.bp.blogspot.com/-mM3N4OFbcws/WDIoCXKUQgI/AAAAAAAABjk/iR0jwH6pNd8zfBwOMLL05F9Kbn2CLT4igCLcB/s1600/Karangetang-009%2B2006.jpg
,Aceh,Leuser,3119,"Gunung Leuser adalah gunung non-vulkanik yang terletak di sebelah tenggara Aceh, Indonesia. Puncak Leuser memiliki ketinggian 3.119 meter dan merupakan salah satu dari tiga puncak utama di pegunungan Leuser. Dua puncak lainnya adalah Puncak Loser (3.404 m) dan puncak tertinggi yang sebenarnya (disebut ""Tanpa Nama"") dengan ketinggian 3.466 m.",https://datagunung.com/images/Leuser.webp
,Aceh,Geureudong,2885,"Gunung Geureudong, juga dikenal sebagai Bur Geureudong atau Bur ni Telong, adalah sebuah gunung berapi stratovolcano yang terletak di Provinsi Aceh, Indonesia. Ketinggian gunung ini mencapai 2.885 meter.",https://datagunung.com/images/Geureudong.webp